1	34813226	34843022	region1	29796	-
1	57348975	57377520	region2	28545	-
1	88258855	88277518	region3	18663	-
1	91403055	91406029	region4	2974	-
1	91540015	91559583	region5	19568	+
1	92992344	92997067	region6	4723	-
1	93803499	93822102	region7	18603	+
1	118459144	118459266	region8	122	-
1	118627944	118685162	region9	57218	+
1	125174891	125177979	region10	3088	+
1	132007617	132031584	region11	23967	+
1	133131137	133139782	region12	8645	+
1	134754664	134955950	region13	201286	-
1	156558072	156649619	region14	91547	+
1	160906383	160974973	region15	68590	+
1	161002921	161034827	region16	31906	-
1	170193430	170215410	region17	21980	-
10	18796805	18831930	region18	35125	-
10	20310505	20312760	region19	2255	-
10	42181845	42276755	region20	94910	-
10	61428491	61452798	region21	24307	-
10	62651692	62706331	region22	54639	+
10	66679899	66698136	region23	18237	-
10	66698292	66708692	region24	10400	+
10	71344912	71385881	region25	40969	+
10	75837523	75864170	region26	26647	+
10	76032655	76042969	region27	10314	+
10	83360240	83488082	region28	127842	+
10	84488293	84504837	region29	16544	+
10	85748561	85781750	region30	33189	+
10	86548678	86591509	region31	42831	-
10	86617011	86670850	region32	53839	+
10	94673712	94688442	region33	14730	-
10	126978697	126999960	region34	21263	+
10	127667199	127701048	region35	33849	+
11	5528889	5542201	region36	13312	-
11	50939595	50943725	region37	4130	-
11	60777537	60788285	region38	10748	+
11	69395816	69396674	region39	858	+
11	75531716	75577567	region40	45851	+
11	79591211	79698022	region41	106811	+
11	95712631	95772350	region42	59719	+
11	95957165	96007888	region43	50723	-
11	97362327	97398541	region44	36214	+
11	97663216	97685443	region45	22227	+
11	98863632	98905578	region46	41946	+
11	100457124	100472782	region47	15658	-
11	103424326	103453696	region48	29370	+
11	106036878	106059322	region49	22444	+
11	107994011	107999715	region50	5704	+
11	108417575	108425425	region51	7850	-
11	120625127	120633954	region52	8827	-
12	3806979	3914443	region53	107464	+
12	81714959	81781170	region54	66211	-
12	98378944	98420048	region55	41104	-
12	98420147	98455965	region56	35818	+
13	21503620	21506524	region57	2904	-
13	23763667	23764414	region58	747	+
13	24905599	24935032	region59	29433	+
13	24987483	25020304	region60	32821	-
13	49814721	49895692	region61	80971	+
13	50268024	50317360	region62	49336	+
13	50501553	50595487	region63	93934	-
13	50905639	50934148	region64	28509	-
13	52096734	52124158	region65	27424	+
13	53393667	53454538	region66	60871	+
13	55105321	55135057	region67	29736	+
13	55212056	55318324	region68	106268	+
14	19626159	19653410	region69	27251	-
14	24081993	24130091	region70	48098	+
14	24337662	24369814	region71	32152	-
14	24412816	24429825	region72	17009	-
14	27039032	27107286	region73	68254	+
14	44758112	44789939	region74	31827	-
14	44926822	44950817	region75	23995	+
14	64811601	64949862	region76	138261	-
15	59247365	59275222	region77	27857	-
15	59275366	59312014	region78	36648	+
15	73095848	73185186	region79	89338	-
15	74606028	74636770	region80	30742	-
15	74636387	74658911	region81	22524	+
15	78647684	78670532	region82	22848	-
15	79928005	79963233	region83	35228	+
15	81802717	81826859	region84	24142	+
15	83353847	83367280	region85	13433	-
15	88955890	88982677	region86	26787	-
15	89499856	89560260	region87	60404	+
15	100575318	100580234	region88	4916	-
15	103191552	103240756	region89	49204	-
16	16896456	16927358	region90	30902	+
16	17233586	17263430	region91	29844	+
16	17451966	17487432	region92	35466	+
16	24393445	24992575	region93	599130	+
16	43964765	43979755	region94	14990	-
17	22497401	22522100	region95	24699	+
17	24961291	25015587	region96	54296	-
17	27288275	27325028	region97	36753	-
17	27325196	27367483	region98	42287	+
17	27856506	27900040	region99	43534	+
17	49112270	49113511	region100	1241	-
