1	91540015	91559583	region5	19568	+
1	160906383	160974973	region15	68590	+
10	61428491	61452798	region21	24307	-
10	71344912	71385881	region25	40969	+
10	76032655	76042969	region27	10314	+
11	5528889	5542201	region36	13312	-
11	95712631	95772350	region42	59719	+
11	100457124	100472782	region47	15658	-
13	24987483	25020304	region60	32821	-
13	49814721	49895692	region61	80971	+
15	73095848	73185186	region79	89338	-
15	83353847	83367280	region85	13433	-
15	88955890	88982677	region86	26787	-
15	100575318	100580234	region88	4916	-
2	37569876	37703370	region112	133494	-
3	32334793	32365665	region120	30872	-
4	56802348	56809597	region126	7249	+
5	130144921	130155114	region149	10193	+
5	135149164	135163872	region150	14708	+
6	88724469	88828357	region162	103888	+
6	92091401	92173057	region163	81656	+
6	128169704	128200582	region168	30878	-
6	128438799	128506907	region169	68108	+
7	30121923	30140747	region170	18824	+
8	25154552	25203880	region184	49328	-
8	66511737	66519199	region188	7462	+
8	111003186	111031723	region195	28537	-
8	124890299	124897776	region198	7477	-
9	44142978	44233996	region201	91018	-
9	107995742	108048780	region210	53038	+
