Geneid	ENSEMBL	log2FoldChange	padj	DEG
Ada	ENSMUSG00000017697.3	2.95	4.76666326030792e-46	Upregulated
Cyp2d34	ENSMUSG00000094559.2	8.18	5.99813842694476e-43	Upregulated
Gm9625	ENSMUSG00000097906.1	4.59	1.56783375730565e-42	Upregulated
H2-Aa	ENSMUSG00000036594.15	2.7	1.56783375730565e-42	Upregulated
Fut2	ENSMUSG00000055978.5	3.79	1.10830956863746e-30	Upregulated
Gm8730	ENSMUSG00000063696.7	3.16	1.84908563731499e-30	Upregulated
Cd3d	ENSMUSG00000032094.8	3.18	2.56436755172749e-29	Upregulated
Ccl5	ENSMUSG00000035042.2	2.95	1.90376788258575e-28	Upregulated
Igha	ENSMUSG00000095079.6	2.82	5.6451325606175e-25	Upregulated
Olfr418	ENSMUSG00000049605.3	-3.5	8.80589562846178e-22	Downregulated
Cyp2c55	ENSMUSG00000025002.5	-3.51	1.67848148070441e-21	Downregulated
H2-Eb1	ENSMUSG00000060586.11	2	1.79016172871909e-21	Upregulated
Gzma	ENSMUSG00000023132.8	2.26	2.37824016882431e-21	Upregulated
Cd3g	ENSMUSG00000002033.14	3	2.51309055955695e-21	Upregulated
H2-DMb1	ENSMUSG00000079547.4	2.25	6.51316268927201e-20	Upregulated
Lck	ENSMUSG00000000409.14	2.96	6.43857097789983e-19	Upregulated
H2-Ab1	ENSMUSG00000073421.6	1.68	8.27904224558275e-19	Upregulated
2010109I03Rik	ENSMUSG00000063522.5	1.99	5.20913422047513e-18	Upregulated
Igkc	ENSMUSG00000076609.2	2	7.82534300047718e-18	Upregulated
Gcg	ENSMUSG00000000394.15	-2.45	9.36487920034041e-18	Downregulated
Acta1	ENSMUSG00000031972.5	2.47	2.76892221684592e-17	Upregulated
Gzmb	ENSMUSG00000015437.5	2.84	1.78212401953434e-16	Upregulated
Cd8a	ENSMUSG00000053977.13	2.89	4.61384592235228e-16	Upregulated
Trbc2	ENSMUSG00000076498.2	3.23	8.01420339806894e-16	Upregulated
Bst1	ENSMUSG00000029082.17	2.02	9.87745980792814e-16	Upregulated
Tcrg-C1	ENSMUSG00000076749.2	3.09	9.87745980792814e-16	Upregulated
Tcrg-C2	ENSMUSG00000076752.2	3.08	9.87745980792814e-16	Upregulated
Apoe	ENSMUSG00000002985.16	2.49	1.02749670352301e-15	Upregulated
Tst	ENSMUSG00000044986.10	1.89	1.1654381135168e-15	Upregulated
Ptprc	ENSMUSG00000026395.16	1.87	1.47050234631364e-15	Upregulated
Mbl2	ENSMUSG00000024863.6	3.71	3.13816309155568e-15	Upregulated
Trgv2	ENSMUSG00000076754.2	3.64	3.40260829295505e-15	Upregulated
Nkg7	ENSMUSG00000004612.9	2.67	5.22347720521801e-15	Upregulated
1500011B03Rik	ENSMUSG00000072694.8	2.11	6.40072817732494e-15	Upregulated
Rdx	ENSMUSG00000032050.17	3.15	9.23592889244712e-15	Upregulated
Upp1	ENSMUSG00000020407.13	1.67	1.01257216407129e-14	Upregulated
Rplp0-ps1	ENSMUSG00000081640.1	3.69	3.42444420807085e-14	Upregulated
Aldh4a1	ENSMUSG00000028737.15	2.79	6.75435472888902e-14	Upregulated
Ghrl	ENSMUSG00000064177.8	1.85	8.185203618198e-14	Upregulated
Cd7	ENSMUSG00000025163.6	2.7	8.185203618198e-14	Upregulated
Cd6	ENSMUSG00000024670.17	3.77	8.185203618198e-14	Upregulated
Cd52	ENSMUSG00000000682.7	1.95	1.23124635449239e-13	Upregulated
Cd96	ENSMUSG00000022657.9	3.31	1.79328355944195e-13	Upregulated
Bmp3	ENSMUSG00000029335.5	-1.77	2.0042056516124e-13	Downregulated
Rims4	ENSMUSG00000035226.5	-3.38	5.15923054526705e-13	Downregulated
Lgals1	ENSMUSG00000068220.6	2.81	1.07848774021394e-12	Upregulated
Cryz	ENSMUSG00000028199.18	3.14	2.34226391064115e-12	Upregulated
Pcp4l1	ENSMUSG00000038370.6	6.39	3.28218617511169e-12	Upregulated
Gimap4	ENSMUSG00000054435.16	2.38	4.93262748089768e-12	Upregulated
Hcst	ENSMUSG00000064109.8	2.76	4.93262748089768e-12	Upregulated
Gimap7	ENSMUSG00000043931.10	2.79	4.94230386317956e-12	Upregulated
AW112010	ENSMUSG00000075010.5	1.76	6.40558938040025e-12	Upregulated
Rgs1	ENSMUSG00000026358.13	2.65	7.71945820509981e-12	Upregulated
Rac2	ENSMUSG00000033220.7	1.67	9.65199124049145e-12	Upregulated
Gimap3	ENSMUSG00000039264.9	2.09	1.1264018980866e-11	Upregulated
Ctsw	ENSMUSG00000024910.5	2.27	2.79562888304923e-11	Upregulated
Actn2	ENSMUSG00000052374.16	3.68	2.97800664273028e-11	Upregulated
Tyrobp	ENSMUSG00000030579.10	2.65	3.14782890237772e-11	Upregulated
Ms4a6b	ENSMUSG00000024677.13	3.23	4.44196229766922e-11	Upregulated
Enpp3	ENSMUSG00000019989.8	1.72	4.66468049055864e-11	Upregulated
Srgn	ENSMUSG00000020077.14	2.19	4.8319903408223e-11	Upregulated
Lat	ENSMUSG00000030742.7	3.14	5.09515003524991e-11	Upregulated
Zap70	ENSMUSG00000026117.10	2.47	5.70064043768834e-11	Upregulated
Arhgdib	ENSMUSG00000030220.13	2.17	5.70064043768834e-11	Upregulated
Gm8420	ENSMUSG00000072324.4	4.63	5.82936764195888e-11	Upregulated
Cd3e	ENSMUSG00000032093.7	2.72	5.82936764195888e-11	Upregulated
Jchain	ENSMUSG00000067149.6	2.27	7.44420430009056e-11	Upregulated
Pck1	ENSMUSG00000027513.11	1.36	1.09915544105453e-10	Upregulated
Car4	ENSMUSG00000000805.18	1.34	1.09915544105453e-10	Upregulated
Sept1	ENSMUSG00000000486.13	2.61	1.43661220707126e-10	Upregulated
Limd2	ENSMUSG00000040699.13	1.84	1.98620627577846e-10	Upregulated
Gimap6	ENSMUSG00000047867.11	2.13	2.69469701724323e-10	Upregulated
Tcrg-C4	ENSMUSG00000076757.9	2.51	3.12564314438544e-10	Upregulated
H2-DMa	ENSMUSG00000037649.10	1.45	3.2384436268409e-10	Upregulated
Cd48	ENSMUSG00000015355.13	2.81	3.29582510218904e-10	Upregulated
Trbc1	ENSMUSG00000076490.6	2.98	3.91013132941981e-10	Upregulated
