17	50237658	50247541	region101	9883	+
17	66206811	66231758	region102	24947	+
17	79333728	79354890	region103	21162	-
17	83574023	83632446	region104	58423	-
18	60684494	60748654	region105	64160	-
18	67029446	67066460	region106	37014	-
18	67066587	67084379	region107	17792	+
19	9982703	9985092	region108	2389	+
19	37254673	37263866	region109	9193	-
19	44562847	44576272	region110	13425	+
2	28822301	28840341	region111	18040	-
2	37569876	37703370	region112	133494	-
2	92541141	92609144	region113	68003	+
2	120692588	120715137	region114	22549	+
2	127691853	127703711	region115	11858	+
2	151127447	151158594	region116	31147	+
2	154436483	154539356	region117	102873	+
2	156196657	156309951	region118	113294	+
3	20402671	20506199	region119	103528	-
3	32334793	32365665	region120	30872	-
3	34826630	34879283	region121	52653	+
3	51224932	51251625	region122	26693	+
3	95181761	95217980	region123	36219	-
3	124398082	124425991	region124	27909	-
4	45395924	45408922	region125	12998	-
4	56802348	56809597	region126	7249	+
4	56867025	56947483	region127	80458	-
4	57356530	57364266	region128	7736	-
4	59805649	59904740	region129	99091	+
4	62220597	62230936	region130	10339	-
4	62231005	62239341	region131	8336	+
4	94280151	94331623	region132	51472	-
4	108175241	108217922	region133	42681	-
4	108227754	108301090	region134	73336	-
4	123833624	123841966	region135	8342	-
4	123892082	123896600	region136	4518	-
4	132639087	132724761	region137	85674	+
4	135412307	135433791	region138	21484	-
4	135626795	135630198	region139	3403	+
4	136469763	136554782	region140	85019	+
5	38200251	38220389	region141	20138	-
5	67392149	67428120	region142	35971	-
5	101832959	102069932	region143	236973	-
5	113320454	113340095	region144	19641	-
5	113340137	113376874	region145	36737	+
5	113937099	113993758	region146	56659	-
5	114828519	114853587	region147	25068	-
5	115142981	115158216	region148	15235	-
5	130144921	130155114	region149	10193	+
5	135149164	135163872	region150	14708	+
5	136919145	136937112	region151	17967	+
5	142866945	142895212	region152	28267	-
5	143758378	143768596	region153	10218	+
5	149790071	149831589	region154	41518	-
6	81893817	81911839	region155	18022	-
6	83362373	83455516	region156	93143	-
6	83575940	83590341	region157	14401	+
6	85111415	85126094	region158	14679	-
6	85469577	85502886	region159	33309	-
6	85985214	86003606	region160	18392	-
6	87962455	87994167	region161	31712	-
6	88724469	88828357	region162	103888	+
6	92091401	92173057	region163	81656	+
6	116338021	116409533	region164	71512	+
6	120836211	120892841	region165	56630	+
6	127776075	127796372	region166	20297	-
6	127796430	127841890	region167	45460	+
6	128169704	128200582	region168	30878	-
6	128438799	128506907	region169	68108	+
7	30121923	30140747	region170	18824	+
7	52887606	52913867	region171	26261	+
7	63886350	63938875	region172	52525	-
7	69874209	69909583	region173	35374	-
7	69909763	69966359	region174	56596	+
7	73097825	73105273	region175	7448	-
7	73105311	73146779	region176	41468	+
7	73773916	73816469	region177	42553	-
7	73816594	73838894	region178	22300	+
7	75769041	75782107	region179	13066	-
7	99920256	99980458	region180	60202	-
7	125316892	125349772	region181	32880	-
7	125349870	125364820	region182	14950	+
7	132712087	132852628	region183	140541	-
8	25154552	25203880	region184	49328	-
8	27293076	27296288	region185	3212	-
8	37088934	37094955	region186	6021	-
8	37103897	37105508	region187	1611	-
8	66511737	66519199	region188	7462	+
8	69761325	69774895	region189	13570	-
8	92189459	92194416	region190	4957	+
8	93409941	93427377	region191	17436	-
8	104348210	104395808	region192	47598	-
8	109726649	109737749	region193	11100	-
8	110117665	110132456	region194	14791	+
8	111003186	111031723	region195	28537	-
8	117158264	117215995	region196	57731	+
8	122883088	123042254	region197	159166	-
8	124890299	124897776	region198	7477	-
9	3181783	3199792	region199	18009	-
9	27299244	27357729	region200	58485	+
9	44142978	44233996	region201	91018	-
9	44292438	44305634	region202	13196	-
9	51765298	51853665	region203	88367	+
9	54207173	54249823	region204	42650	-
9	54249945	54277638	region205	27693	+
9	61913285	61914541	region206	1256	-
9	67691251	67733786	region207	42535	-
9	67733944	67760929	region208	26985	+
9	106688081	106789172	region209	101091	-
9	107995742	108048780	region210	53038	+
9	114507221	114564369	region211	57148	-
9	119402285	119441914	region212	39629	+
9	119444964	119465504	region213	20540	+
9	122780672	122805469	region214	24797	-
